AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,18834876,1,200208,16,"5,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,18926823,1,200111,17,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,20530940,1,200404,15,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,22206464,1,200302,16,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,24921248,1,200408,14,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,C,3,25464761,1,200210,16,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,19981,2,200501,14,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,3338885,2,200504,14,"5,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,3502269,2,200309,15,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,3649733,2,200505,14,"5,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,4240047,2,200501,14,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,4264320,1,200409,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,5072222,2,200501,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,5350288,1,200406,15,"5,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,5560502,1,200504,14,"5,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,5604522,1,200409,14,"5,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,6166783,2,200311,15,"5,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,310,5,4,1,1,D,3,7388795,1,200504,14,"5,1"
